title,award,critic,public
Spotlight,Oscars,Old-style journalism triumphs in the story of the real-life team who knocked on doors and scoured the cuttings library to reveal a scandal that may have begun centuries ago,Spotlight is a movie that I didn't think I would want to watch more than once because of it's subject matter but I can't help myself with Tom McCarthy's masterpiece.
,,"A grown-up film about serious people that mercifully escapes any awards-grabbing platitudes, this is more thrilling than most action movies","9.5/10, well acted and riveting"
,,"This tight, relatively low-key, step-by-step procedural has a stronger impact than any horror movie.","Spotlight was ok, but devoid of any tension, ambiguity, depth, complexity. We all know the story---the reality---that 90 priests molested and/or had inappropriate sexual interactions with teen and preteens, and that the Catholic Church in Boston and elsewhere covered it up."
,,"To turn a spotlight fittingly on “Spotlight,” it’s the year’s best movie so far, and a rarity among countless dramatizations that claim to be based on actual events.",Thrilling! One of my favorite movie of all time.
,,"It’s not a stretch to suggest that “Spotlight” is the finest newspaper movie of its era, joining “Citizen Kane” and “All the President’s Men” in the pantheon of classics of the genre.",Spotlight takes on the task its subjects brought to life the decade prior with grace pose and a rawness that is gripping and emotionally moving.
,,"It sticks with you, as well-told stories do. As shocking stories do. It's a horrific reminder of the evil that people can do. Any people","Good solid writing, acting, directing, and the film took you into newsrooms and you meet reporters that are becoming too few in this country"
,,It's these survivors who give Spotlight its beating heart,"Absolutely brilliant from start to finish.

"
,,"Bold, audacious and shocking, a consummate piece of work","A story everyone should watch, one of the most important films of the decade."
,,"Put simply, this drama will likely make journalists want to be better at their job and Catholics either quit or commit themselves to making the church do better. It's that thought-provoking.","Taking the #1 spot in the list for my favorite films of the decade, this Best Picture winning film shines a light on the extraordinary investigative journalists who revealed one of the most disturbing true secrets that the church had been hiding for many years."
,,"A polished, engrossing procedural, Spotlight offers plenty of old-fashioned pleasures — chiefly, the sight of smart, scrappy muckraking journalists stopping at nothing to uncover systematic corruption.",Powerful and absolutely perfect storytelling. You won't forget the final 40 minutes of Spotlight.
,,,Great casting though I think that McAdams could've done a better job
,,,"Following in the footsteps of other journalistic drama greats like ""All The President's Men"" and ""The Insider"" before it, this Best Picture winner takes an incredibly engrossing story of investigative passion and layers a thick coating of moral intrigue and subtle, yet effective emotionality on top of it."
,,,good cast and a great story based on real life story in Boston about the Catholic church
,,,A story worth watching! Great!
,,,"What they did with the story was close to brilliant. Although there was not too much happening on screen, they managed to create a dense and believable atmosphere."
,,,"This movie is just mindblowing for me, not just the story but the performance from the casts too, Michael Keaton, Mark Ruffalo, Rachel McAdams and Stanley Tucci played a big part that makes this movie so meaningful for me."
,,,The best newsroom procedural i have ever seen.
,,,An important film...it treads its difficult subject matter with respect and dignity.
,,,Mark Ruffalo shows why he's a mediocre actor at best
,,,One of the best true story-telling movies.
,,,Really well done. Amazing so many people would look the other way.
,,,"As I've watched an ever-increasing number of films across a variety of genres, I've come to the conclusion that the investigative drama is one of my favorite genres"
,,,"This movie was flat, boring, and seemed just clinical and surgical in the way it dealt with such a tragic and controversial topic. I can't believe such a careless and boring snooze-fest won best picture."
,,,An Academy Award winner for Best Picture and an excellent film that gives one a good idea of the code of silence and the vastness of the problem of sexual abuse of children by priests on a scale most of us could never imagine.
,,,"Very good movie, try to detail the facts but in some cases make excessive use of the resource of put crying people in the screen but in general is a spectacular movie."
,,,"Spotlight is one of the most important films of my lifetime. The story is so significant, and Spotlight honors it in a near-perfect way."
,,,"Spotlight avoids all of this portraying it's heroes as able and worthy in their jobs as they face a difficult task but they always feel very grounded and big, teary-eyed speeches about ""integrity"" and ""truth"" are never brought out to sell the idea that journalism is important, we already understand."
,,,The movie is a biography and I love watching films like these because most of the time I didn't even know about the story.
,,,"One of the most rewarding slow burners of the past century. Spotlight heavily utilizes its real life story to perfection, as it addressed the reveal of a shocking secret kept under wrap for years."
,,,"Watched Spotlight. Wonderful film. The acting was incredible and I loved everyones performance, and it didn't unrealistically embellish anything"
,,,
THE BIG SHORT,,"See it, and then dig up a copy of Charles Ferguson's excellent (and Oscar-winning) documentary on the same subject, Inside Job.",One of the most-watched films in my collection. A story that needed telling in a film that delivers the message with wit and a deep vein of anger.
,,Confronting these facts while snorting at how funny this film often can be is quite confounding.,"Hilarious, informative and incredibly well executed in it's descent into the dark reality. The visceral, frantic pace, initially slown down by somehow completely natural cameos and 4th wall breaks is laid down on the viewer in the third act, unexpectedly and yet unavoidably."
,,"McKay hasn't lost his touch as a director of comic performances, and the didactic format lets him shake off a lot of sodden Hollywood convention: the characters aren't required to learn spiritual lessons or even be particularly likeable.","Great performances everywhere you look, a really complicated issue that is dealed with an amazing script."
,,"McKay cowrote The Big Short's screenplay with Charles Randolph, and they know how to keep an audience engaged, broadcasting this knowledge often, as both parody and indictment.",A clever approach to complicated and no so cinematic source material. I actually liked it though and I am glad it was made. It documents a time when real estate just wasn't making any sense.
,,"Lots of pleasant bluster, but spreads itself a little too thin.",Humoristische uitleg van het ontstaan van de kredietcrisis. Mooie set acteurs.
,,"McKay's masterful sendup of late-stage capitalism will leave you saying, ""Never again!""","a must see, one of my fav movies, exelent cast"
,,"Steve Carell, Christian Bale, Ryan Gosling and Brad Pitt lead an ensemble cast firing on all cylinders.","The Big Short is good, but you have to be seriously into the subject matter to enjoy this film as it doesn't do much to appeal to casual viewers."
,,Teems with self-awareness about the complexity of Wall Street while using that opportunity to inject dark humor into what's otherwise a frighteningly bleak reality.,"This movie was fantastic. Christian Bale, Brad Pitt, and Steve Carell did a fantastic job in this movie. When I saw this movie, it made me angry because this took place at the time of the recession in 2008 and I had a great job with good pay and benefits but at the beginning of December that year I lost it all because of the people on Wall Street."
,,You'll leave with both a firm understanding of tranche-bundled CODs and a strange fascination with Carell's wig.,Brilliant. One of the few times I enjoyed a movie as much as the book.
,,"Smart, funny, scary, ingeniously populated and a rollicking good time, The Big Short was such a left-field bolt from the blue and an enormously entertaining few hours in the cinema.",Very well done movie that tells a great story with some awesome laughs. Good performances all around too with the cast
,,,Good film. Sometimes slightly confusing for the uninitiated! Worth watching for sure
,,,"FANTASTIC! Intense acting and unique presentation. With comedy, it engagingly teaches Americans, how we got screwed in the housing crisis. And how the culprits, not only got away scot free but then were rewarded!"
,,,One of the slowest movies I've ever seen.
,,,I liked the ensemble cast and the fast pace. But the screenplay and characters were a little off.
,,,"The movie portrays a unique look into who caused the financial crisis, rather than how it was caused."
,,,What a strange film about a strange time. Well put together
,,,really good story great cast but it was to slow and boring for me didn't keep me interested
,,,"Not my kind of film; most of the financial terminology went straight over my head, detracting from the overall storytelling. I give it credit for trying to approach the subject with creativity and humour though, and so it just scrapes a 3/5."
,,,"A tremendous cast with Gosling, Bale and Carell in particular leading from the front in this financial epic"
,,,"I can't believe how underrated this movie is. The acting is phenomenal and the screenplay is amazing. This is how ""based on a true story"" movies should be. The Big Short is fully self aware and just keeps pushing."
,,,One of the best movies I've ever seen. Working in the banking sector I had a much bigger appreciation for the course of events leading to the conclusion of the movie. It's a must see in my opinion.
