title,award,critic,public
Moonlight ,Oscars,"Ultimately, Moonlight is cinema that's vital and profound. If there is any way humanly possible to put this film in front of your eyeballs, you owe it to yourself to do so. This movie is why movies exist.","A masterpiece that makes you feel for the character. The separation into three parts was a great idea, and it conveys its message. It shows Chirons development in a way that makes you feel for him, hard. It shows you the worst moments, and the outcome in the end, wraps it all up perfectly, he truly finds himself"
,,"MOONLIGHT is not a portrait painted in broad brushstrokes, but a tapestry - any one strand can be admired for its own technique and qualities, but standing back to observe the whole is where the power lies.","A young gay boy tries to come to terms with himself against a backdrop of bullying and intolerance. Beautifully shot and well acted throughout, but also incredibly slow and ponderous which won’t be to everyone’s taste. I thought the young kid and the teenage actor both played the character really well, but I was less convinced by the adult version for some reason. The emotions are strong in this film and you really care about the characters. A well made film, but from an entertainment point of view it’s not one I’d want to watch again and again."
,,"Barry Jenkins' screenplay is beautiful in its simplicity, relying just as much on its stars' exceptional abilities to move the story along during moments of silence.","This film is utterly flawless. A24 in my opinion is a breeding-ground for near-perfect films, and this is one of the few that have actually turned out perfect. Everything from the screenplay, casting, acting, cinematography, editing, I was simply taken by all of it. There are few films that can hypnotize me and and keep me in its grasp from beginning to end, and this is one of those films. It is so subtle, and yet so powerful. It's not a movie that lets its actors goes over-the-top with emotion, but rather the opposite, keeping it bottled up and that makes it all-the-more realistic. As I mentioned, each performance given in this movie is impeccable. So many moments gave me chills and moved me to my core. I've never been so invested in a character-study movie before, and I find myself rewatching it over and over again, each time it getting better and better, picking up more slight details along the way. Easily one of the best movies of the 2010's, and of the best character-piece movies of the 21st century thus far, in my opinion"
,,Moonlight has tremendous value both as unflinching dissection of a long-standing problem in the community and for the depiction of a kid with few choices who is unable to rise above the obstacles in his path.,"Overhyped and forced , this film could have used some more dialogue and a louder audio track for that dialogue. Minimalism is a great artistic tool, it just doesn't work with this script. And with the best scene being when Little smashes a chair over the head of one of his bullies, that says alot for a movie that covers so many important topics - where the most entertaining scene can be found on a WWE pay-per view."
,,"The film is largely about the physical and emotional violence that's done to Chiron that enmeshes him in silence, against the grain of the slim moments of inexplicable kindness that break through to nurture him towards trust.","hird act was a bore in my opinion - I'm not a fan of giving such huge emphasis on race and identity in movies (people should be portrayed as who they are as naturally as possible, or else it gives rise to stereotypes and outdated movie tropes) - the deliberate partitioning of the three acts made me want more out of the story. I love coming-of-age films, but leaving out the transitions between adolescence -> teen and teen -> adulthood was a little disappointing to me. And the sections can give us room for imagination, but the pacing made it hard for me to keep my interest in Chiron's development."
,,"Moonlight managed to beautify an area considered horrifically ugly and scarred. The movie also brilliantly tackled black masculinity, crack addiction and bullying with an honest and fresh approach.","Unbelievable. Nicely filmed, but ponderous, slow, not particularly well-acted (although it brought 'sulking' to a new level), I wanted to like the film, but it just went nowhere. While I can understand others enjoying it more than I, THIS is the film that won won Best Film of the Year? Huh? Unbelievable....."
,,"Moonlight is one of those films that play out like a huge build up towards an emotionally taut final act. Some will find the climax too understated but that's exactly what makes it feel real and powerful, just like the rest of the story.","This movie is incredibly beautiful and emotionally honest. A great deal has already been said about its impactful and telling portrayal of masculinity and emotional vulnerability, and how incredibly important this movie is. The actors were all stellar and felt very true to their characters, and the progression of the film was completely satisfying. This film makes you feel something deep within your chest, pain and joy, and underneath it all hope, that is rare and special in art. For any person who grew up as a child vulnerable and isolated, lonely and struggling, this will feel like an honest reflection on pain and hope"
,,"The only way to describe Moonlight is as art. It's pure, unadulterated art. It's storytelling at it's best. It's filmmaking at it's best. It's romantic, emotional, and, most importantly, a film that needs to be seen.","I am probably the only one who actually didn't enjoy watching the movie. Mahershala Ali is the only good thing in this movie. Usually when we are watching a movie we expect a slow start and then much more emotion, a climax after a few minutes. Moonlight takes you through a good start to a boring ending. They killed Ali character after 30 minutes of movie and then you have to watch one hour slow dialogues."
,,"It will forever live as one of the most profoundly touching and mesmerizing films with a fantastic, diverse cast that demonstrated the power of intersectionality.","I admired the filmmaking, but didn't really connect with it. I thought some parts were very slow, especially the scene in the restaurant near the end. I didn't think the third section was as effective as the first two. The child actors are all really good, and I think anyone who has experienced bullying at school can relate to what Chiron goes through. It's not an easy watch and wasn't really for me, but I can see why some people love it."
,,"The film doesn't possess one of those purposefully frustrating indie movie endings where the credits roll the moment the filmmakers ran out of ideas. Moonlight finishes not on a period or an exclamation point, but an ellipsis.","The amount of work and thought that went into each and every frame is insane. This film is extremely meaningful and a beautiful story overall. It is not your typical ""Hood"" movie. The sound design matches the story in a oddly good way, that no movie has ever done before. Only downside of this film is it gets a teeny bit slow toward the end."
